chinese,english,math,society,science,PR,H_GPA,avg,grade_10,grade_5,grade_3,grade_2
50.6,69.37,87,64.27,75.84,84,3.811,91.17,A,A,A,A
50.6,43.76,100,50.26,89.97,73,2.863,72,C,C,B,A
67.22,60.17,91.46,50.26,68.01,43,2.366,69.75,D,D,B,A
67.22,78.6,74.13,80.24,75.84,82,3.574,71.33,C,C,B,A
35.34,43.76,91.46,80.24,89.97,82,1.376,62.83,D,D,B,A
50.6,69.37,74.13,64.27,83.4,79,2.794,74.58,C,C,B,A
67.22,43.76,87,50.26,89.97,80,3.136,66.5,D,D,B,A
67.22,78.6,65.67,96.56,83.4,89,2.581,43.58,F,F,F,F
82.09,52.09,95.53,80.24,68.01,83,3.745,84.5,B,B,A,A
14.84,69.37,87,50.26,83.4,72,2.25,65.25,D,D,B,A
35.34,60.17,87,25.28,83.4,83,3.059,74,C,C,B,A
67.22,52.09,95.53,50.26,75.84,85,2.067,59.5,E,F,F,F
9.14,60.17,95.53,64.27,68.01,66,3.265,62,D,D,B,A
14.84,87.21,87,25.28,68.01,81,1.206,43.08,F,F,F,F
50.6,43.76,91.46,64.27,83.4,54,2.308,67.25,D,D,B,A
35.34,43.76,97.89,64.27,75.84,78,3.055,73.92,C,C,B,A
82.09,78.6,80.61,64.27,83.4,69,3.095,80.42,B,B,A,A
82.09,36.01,95.53,64.27,83.4,77,3.592,79.5,C,C,B,A
50.6,43.76,91.46,64.27,83.4,56,2.805,67.67,D,D,B,A
35.34,69.37,87,50.26,83.4,73,2.603,75.83,C,C,B,A
67.22,87.21,74.13,80.24,89.97,73,3.375,88.08,B,B,A,A
67.22,60.17,87,64.27,75.84,89,3.97,95.67,A,A,A,A
35.34,43.76,95.53,50.26,83.4,56,3,71.83,C,C,B,A
82.09,43.76,91.46,36.76,83.4,75,2.641,74,C,C,B,A
50.6,69.37,80.61,64.27,89.97,64,3.771,84.67,B,B,A,A
50.6,78.6,80.61,36.76,75.84,56,2.707,65.25,D,D,B,A
35.34,69.37,80.61,64.27,83.4,34,3.193,54.17,E,F,F,F
67.22,69.37,74.13,50.26,83.4,77,2.548,66.67,D,D,B,A
67.22,36.01,97.89,36.76,83.4,73,1.416,49.75,F,F,F,F
82.09,69.37,74.13,64.27,83.4,73,2.206,51.75,E,F,F,F
67.22,69.37,74.13,80.24,83.4,73,2.584,69.92,D,D,B,A
35.34,78.6,87,50.26,68.01,84,1.911,59,E,F,F,F
67.22,87.21,74.13,64.27,75.84,68,3.068,66.33,D,D,B,A
35.34,52.09,97.89,14.27,68.01,68,2.263,57.5,E,F,F,F
50.6,43.76,95.53,64.27,83.4,57,3.702,75.67,C,C,B,A
9.9,90.7,85.62,57.51,82.02,91,2.462,76.8,C,C,B,A
77.31,37.93,93.96,93.96,82.02,91,3.711,84,B,B,A,A
45.71,61.76,85.62,90.68,89.48,86,2.504,83.2,B,B,A,A
61.47,68.97,90.68,80.36,66.67,86,2.547,62.2,D,D,B,A
32.76,61.76,93.96,74.39,66.67,69,3.168,81.8,B,B,A,A
45.71,83.45,85.62,90.68,89.48,82,2.696,67,D,D,B,A
9.9,83.45,80.36,74.39,74.44,96,3.95,91,A,A,A,A
22.7,76.53,96.59,93.96,74.44,93,2.563,78.2,C,C,B,A
32.76,61.76,85.62,80.36,89.48,75,2.777,82.4,B,B,A,A
61.47,61.76,90.68,85.62,74.44,89,3.726,79.6,C,C,B,A
61.47,53.96,90.68,98.59,95.5,80,2.15,55.8,E,F,F,F
32.76,68.97,85.62,93.96,82.02,90,3.174,67.6,D,D,B,A
77.31,45.91,85.62,93.96,74.44,78,1.321,44.2,F,F,F,F
45.71,90.7,85.62,96.59,82.02,50,3.016,88.2,B,B,A,A
45.71,76.53,85.62,90.68,66.67,79,3.76,85.4,B,B,A,A
61.47,53.96,85.62,96.59,89.48,71,3.78,92.8,A,A,A,A
77.31,28.5,93.96,85.62,74.44,49,3.724,93.6,A,A,A,A
32.76,45.91,85.62,93.96,74.44,92,2.808,64.6,D,D,B,A
90.21,45.91,80.36,90.68,95.5,89,2.428,60.6,D,D,B,A
61.47,76.53,85.62,85.62,58.63,82,3.073,68.2,D,D,B,A
32.76,76.53,74.39,90.68,74.44,82,2.128,81.8,B,B,A,A
32.76,83.45,74.39,85.62,58.63,80,2.258,62.2,D,D,B,A
32.76,61.76,85.62,80.36,74.44,87,2.85,67,D,D,B,A
45.71,68.97,80.36,90.68,58.63,78,2.359,71.8,C,C,B,A
61.47,61.76,74.39,93.96,74.44,83,2.191,64.8,D,D,B,A
61.47,37.93,80.36,96.59,89.48,80,2.341,59,E,F,F,F
61.47,53.96,80.36,93.96,82.02,80,1.215,47.2,F,F,F,F
15.22,61.76,80.36,93.96,74.44,62,2.487,62.8,D,D,B,A
61.47,61.76,74.39,90.68,74.44,85,2.234,72.2,C,C,B,A
45.71,76.53,74.39,93.96,66.67,91,2.637,76,C,C,B,A
45.71,68.97,85.62,90.68,66.67,60,2.991,66.4,D,D,B,A
61.47,61.76,80.36,93.96,74.44,91,1.612,42.4,F,F,F,F
77.31,68.97,67.25,90.68,74.44,56,2.709,78.8,C,C,B,A
32.76,45.91,67.25,90.68,95.5,73,1.241,51.6,E,F,F,F
61.47,76.53,80.36,93.96,58.63,84,1.634,63,D,D,B,A
45.71,61.76,80.36,74.39,74.44,77,1.068,57.2,E,F,F,F
90.21,61.76,74.39,93.96,89.48,90,3.406,81.4,B,B,A,A
77.31,76.53,80.36,85.62,58.63,81,2.605,79.2,C,C,B,A
90.21,68.97,80.36,85.62,66.67,54,1.245,71.4,C,C,B,A
32.76,76.53,67.25,90.68,74.44,84,0.642,28.8,H,F,F,F
45.71,53.96,90.68,90.68,74.44,50,3.463,88.4,B,B,A,A
61.47,90.7,57.8,80.36,66.67,77,2.258,73.4,C,C,B,A
77.31,53.96,74.39,93.96,82.02,79,3.664,72.2,C,C,B,A
45.71,90.7,67.25,93.96,58.63,79,1.352,70.2,C,C,B,A
22.7,61.76,85.62,80.36,82.02,49,2.933,68.4,D,D,B,A
61.47,61.76,85.62,80.36,58.63,60,1.727,40.6,F,F,F,F
61.47,28.5,96.59,98.59,82.02,92,0.625,54.6,E,F,F,F
32.76,45.91,93.96,96.59,74.44,71,3.272,70.8,C,C,B,A
77.31,76.53,80.36,96.59,58.63,71,2.346,81.6,B,B,A,A
45.71,68.97,67.25,80.36,89.48,75,3.142,64.6,D,D,B,A
77.31,53.96,74.39,80.36,82.02,62,1.521,47.4,F,F,F,F
61.47,68.97,74.39,93.96,74.44,67,2.56,75.6,C,C,B,A
45.71,90.7,80.36,85.62,66.67,84,2.824,65.6,D,D,B,A
45.71,61.76,80.36,80.36,74.44,22,2.455,56.75,E,F,F,F
45.06,48.84,89.52,27.58,75.28,80,1.308,56.9,E,F,F,F
77.65,56.09,93.81,78.79,82.8,86,3.67,81.2,B,B,A,A
45.06,56.09,93.81,52.26,89.35,84,1.859,58.4,E,F,F,F
61.62,74.96,93.81,78.79,89.35,89,2.948,72.6,C,C,B,A
45.06,84.64,89.52,52.26,75.28,91,2.8,70.2,C,C,B,A
30.45,65.01,93.81,64.4,75.28,94,3.392,77,C,C,B,A
30.45,65.01,89.52,52.26,89.35,85,2.014,62.3,D,D,B,A
45.06,48.84,93.81,52.26,75.28,85,3.963,91.5,A,A,A,A
11.45,48.84,100,37.76,97.83,83,3.289,78.9,C,C,B,A
19.15,65.01,85.12,78.79,97.83,80,3.986,93.4,A,A,A,A
61.62,74.96,89.52,27.58,82.8,82,2.757,69.33,D,D,B,A
77.65,56.09,85.12,52.26,82.8,91,3,69.7,D,D,B,A
45.06,84.64,89.52,78.79,75.28,82,2.196,61.6,D,D,B,A
45.06,41.72,93.81,52.26,75.28,60,3.402,79.2,C,C,B,A
30.45,48.84,100,52.26,66.62,81,3.794,86.3,B,B,A,A
61.62,56.09,93.81,52.26,82.8,84,2,65.5,D,D,B,A
30.45,56.09,93.81,37.76,82.8,74,3.774,84.8,B,B,A,A
61.62,65.01,89.52,64.4,89.35,86,3.772,87.8,B,B,A,A
30.45,84.64,85.12,27.58,82.8,69,0.816,40.67,F,F,F,F
77.65,65.01,85.12,52.26,82.8,63,3.648,85.7,B,B,A,A
61.62,41.72,93.81,52.26,89.35,73,1.394,50.89,E,F,F,F
