chinese,english,math,society,science,PR,H_GPA,B,B_10,B_5,B_3,B_2
52.47,44.27,91.66,51.86,76.97,72,3.381,83,B,B,A,A
88.02,69.86,81.73,69.89,68.62,75,2.139,54,E,F,F,F
67.22,95.35,91.46,50.26,68.01,86,2.106,43.5,F,F,F,F
67.22,78.6,87,80.24,75.84,94,2.222,44.5,F,F,F,F
50.6,95.35,91.46,25.28,59.23,82,1.889,83.5,B,B,A,A
97.95,69.37,95.53,64.27,75.84,82,1.354,85.5,B,B,A,A
50.6,78.6,87,50.26,68.01,89,3.073,8,J,F,F,F
82.09,69.37,74.13,50.26,83.4,91,3.129,97.5,A,A,A,A
50.6,60.17,100,80.24,95.53,89,1.976,86,B,B,A,A
23.3,87.21,95.53,25.28,75.84,80,2.257,80.5,B,B,A,A
92.52,69.37,80.61,80.24,95.53,89,3.751,70,D,C,B,A
67.22,78.6,80.61,80.24,89.97,93,2.215,68.5,D,D,B,A
50.6,69.37,95.53,25.28,68.01,87,3.871,79,C,C,B,A
82.09,78.6,80.61,64.27,68.01,94,3.923,72.5,C,C,B,A
14.84,87.21,95.53,36.76,39.66,85,3.298,52,E,F,F,F
50.6,60.17,91.46,36.76,83.4,60,2.921,56.5,E,F,F,F
67.22,60.17,87,64.27,95.53,93,2.535,76,C,C,B,A
82.09,69.37,91.46,25.28,75.84,81,3.552,54.5,E,F,F,F
50.6,69.37,87,64.27,75.84,84,3.811,64.5,D,D,B,A
50.6,43.76,100,50.26,89.97,73,2.863,52,E,F,F,F
67.22,60.17,91.46,50.26,68.01,43,2.366,26,H,F,F,F
67.22,78.6,74.13,80.24,75.84,82,3.574,77.5,C,C,B,A
35.34,43.76,91.46,80.24,89.97,82,1.376,51,E,F,F,F
50.6,69.37,74.13,64.27,83.4,79,2.794,67,D,D,B,A
67.22,43.76,87,50.26,89.97,80,3.136,95.5,A,A,A,A
67.22,78.6,65.67,96.56,83.4,89,2.581,74,C,C,B,A
82.09,52.09,95.53,80.24,68.01,83,3.745,71.5,C,C,B,A
14.84,69.37,87,50.26,83.4,72,2.25,81,B,B,A,A
35.34,60.17,87,25.28,83.4,83,3.059,27,H,F,F,F
67.22,52.09,95.53,50.26,75.84,85,2.067,65.5,D,D,B,A
9.14,60.17,95.53,64.27,68.01,66,3.265,56.5,E,F,F,F
14.84,87.21,87,25.28,68.01,81,1.206,68,D,D,B,A
50.6,43.76,91.46,64.27,83.4,54,2.308,82.5,B,B,A,A
35.34,43.76,97.89,64.27,75.84,78,3.055,57.5,E,F,F,F
82.09,78.6,80.61,64.27,83.4,69,3.095,63.5,D,D,B,A
82.09,36.01,95.53,64.27,83.4,77,3.592,88,B,B,A,A
50.6,43.76,91.46,64.27,83.4,56,2.805,60,E,D,B,A
67.22,87.21,74.13,80.24,89.97,73,3.375,61.5,D,D,B,A
67.22,60.17,87,64.27,75.84,89,3.97,60.5,D,D,B,A
35.34,43.76,95.53,50.26,83.4,56,3,79,C,C,B,A
82.09,43.76,91.46,36.76,83.4,75,2.641,90,B,A,A,A
50.6,69.37,80.61,64.27,89.97,64,3.771,66,D,D,B,A
50.6,78.6,80.61,36.76,75.84,56,2.707,78,C,C,B,A
35.34,69.37,80.61,64.27,83.4,34,3.193,52,E,F,F,F
67.22,69.37,74.13,50.26,83.4,77,2.548,61.5,D,D,B,A
67.22,36.01,97.89,36.76,83.4,73,1.416,55.5,E,F,F,F
